CASE;QUESTNNR;MODE;SD01;SD02;SD03_01;SD06;SD07;SD08;SD09;CM01;CM02;CM03;CM04;CM05;CM06;CM07;CM08;CM09;CM10;CM11;CM12;CM13;CM14;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;type
case;quest;mode;obtained;gender;age;education;employement;income;disease;tcm_known;tcm_use;tcm_frequency;tcm_science;tcm_trust;med_money;tcm_money;tcm_moneyrel;globuli_use;globuli_pass;vax_use;vax_fresh;needle_use;needle_frequency;time_p1;time_p2;time_p3;time_p4;time_p5;time_p6;time_p7;time_total;finished;q_viewer;lastpage;maxpage;missing;missrel;malus;deg_time;type
84;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;-9;-9;-9;-9;-9;-9;;;50;43;18;16;20;147;1;0;5;5;100;100;1,28;14;1
89;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;-9;-9;-9;-9;-9;-9;;;160;99;99;44;36;438;1;0;5;5;96;97;0,49;0;1
94;TCM-Survey;interview;5;1;26;7;1;6;2;1;2;4;3;1;3;1;;1;1;1;1;2;1;;;65;56;24;27;44;216;1;0;5;5;4;1;0,82;0;1
95;TCM-Survey;interview;5;2;35;7;1;8;2;1;1;1;1;1;4;1;;1;1;1;5;1;1;;;46;49;21;16;31;163;1;0;5;5;8;3;1,11;6;1
96;TCM-Survey;interview;5;2;46;2;1;7;1;1;2;1;1;3;2;1;;2;2;2;2;2;1;;;49;38;34;17;33;171;1;0;5;5;12;4;1,03;4;1
98;TCM-Survey;interview;5;2;17;4;6;1;1;1;2;1;2;1;3;1;;1;2;1;1;2;1;;;38;43;17;13;36;147;1;0;5;5;12;4;1,26;13;1
102;TCM-Survey;interview;5;2;33;7;1;11;2;1;1;1;3;3;7;1;;2;2;2;2;2;1;;;70;46;27;26;26;195;1;0;5;5;8;4;0,94;4;1
103;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;-9;-9;-9;-9;-9;-9;;;83;34;247;6;4;151;1;0;5;5;92;97;1,61;105;1
104;TCM-Survey;interview;1;1;64;2;3;12;2;1;1;2;1;1;5;4;;1;1;1;1;1;1;;;49;101;38;29;44;261;1;0;5;5;8;1;0,72;1;1
105;TCM-Survey;interview;1;2;56;7;1;11;1;1;2;1;2;1;7;1;;2;2;1;1;2;1;;;2506;55;21;24;50;203;1;0;5;5;8;1;0,7;1;1
106;TCM-Survey;interview;1;1;60;5;3;7;1;1;1;3;1;1;1;6;;1;1;2;1;2;1;;;154;155;88;28;76;501;1;0;5;5;4;1;0,41;0;1
107;TCM-Survey;interview;1;1;23;4;1;8;2;2;2;1;7;2;4;1;;1;1;1;1;2;1;;;86;49;35;13;30;213;1;0;5;5;12;7;0,97;7;1
109;TCM-Survey;interview;1;1;60;3;3;6;1;1;1;1;1;1;7;1;;1;1;1;2;1;1;;;25;35;27;18;31;136;1;0;5;5;8;1;1,3;16;1
110;TCM-Survey;interview;1;1;67;3;3;3;2;1;1;1;3;3;3;1;;2;2;1;1;1;1;;;68;105;29;19;111;332;1;0;5;5;8;1;0,67;0;1
111;TCM-Survey;interview;1;2;46;7;1;7;2;1;1;1;1;3;4;1;;2;2;1;2;1;1;;;35;42;25;28;36;166;1;0;5;5;12;5;1,04;6;1
113;TCM-Survey;interview;1;2;22;4;1;4;2;1;1;2;2;1;2;1;;2;2;1;1;1;2;;;94;89;38;14;52;287;1;0;5;5;8;4;0,75;4;1
114;TCM-Survey;interview;1;2;36;6;1;8;1;1;2;1;5;6;4;1;;2;2;1;1;2;1;;;36;45;21;22;44;168;1;0;5;5;12;4;1,05;6;1
115;TCM-Survey;interview;2;1;48;6;1;7;1;1;1;5;1;4;7;7;;2;2;1;1;1;5;;;54;60;24;27;46;211;1;0;5;5;8;1;0,84;0;1
116;TCM-Survey;interview;1;1;80;3;3;3;1;1;2;1;3;7;7;1;;2;2;1;1;2;1;;;97;57;26;17;88;285;1;0;5;5;8;1;0,75;1;1
117;TCM-Survey;interview;1;1;50;6;1;8;1;1;1;3;1;1;7;6;;1;1;1;2;1;5;;;38;56;44;21;33;192;1;0;5;5;8;1;0,94;5;1
118;TCM-Survey;interview;1;2;41;8;1;7;1;1;2;1;3;3;4;1;;2;2;1;1;2;1;;;87;64;28;37;67;283;1;0;5;5;8;1;0,64;0;1
119;TCM-Survey;interview;1;1;30;6;2;5;1;2;2;1;7;7;5;1;;4;4;1;1;2;1;;;83;77;30;41;39;270;1;0;5;5;12;4;0,68;0;1
120;TCM-Survey;interview;1;1;21;6;6;1;2;1;2;1;4;3;3;1;;2;2;1;1;2;1;;;53;48;16;16;44;177;1;0;5;5;12;4;1,08;7;1
121;TCM-Survey;interview;1;1;21;4;6;3;2;1;2;1;7;2;1;1;;1;2;1;4;2;1;;;46;42;19;15;34;156;1;0;5;5;16;8;1,16;8;1
122;TCM-Survey;interview;1;1;54;3;1;7;2;1;2;1;3;2;5;1;;1;1;1;1;1;1;;;51;52;60;23;59;245;1;0;5;5;8;1;0,74;0;1
123;TCM-Survey;interview;1;1;53;3;1;6;2;1;2;1;2;1;7;1;;1;1;1;4;2;1;;;29;32;21;11;69;162;1;0;5;5;16;8;1,32;21;1
124;TCM-Survey;interview;1;1;32;7;1;6;1;1;2;1;2;1;7;1;;2;2;1;1;2;1;;;45;48;14;13;51;171;1;0;5;5;12;4;1,2;14;1
125;TCM-Survey;interview;1;1;61;4;1;6;2;1;2;1;3;3;7;1;;1;2;1;4;1;3;;;41;30;32;24;62;189;1;0;5;5;12;4;0,98;8;1
